City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Upernavik,GL,72.7868,-56.1549,37.98,85,94,6.31,overcast clouds
254,Hasaki,JP,35.7333,140.8333,93.29,80,69,20.74,broken clouds
255,Seoul,KR,37.5683,126.9778,89.17,56,75,4.61,broken clouds
256,Noumea,NC,-22.2763,166.4572,78.78,99,0,5.57,clear sky
257,Nong Ki,TH,14.6868,102.538,87.91,53,100,5.32,overcast clouds
258,Dawei,MM,14.0833,98.2,87.12,72,82,3.74,broken clouds
259,Henties Bay,NA,-22.116,14.2845,52.52,84,24,4.85,few clouds
260,Chiredzi,ZW,-21.05,31.6667,55.2,73,0,1.83,clear sky
261,Tacoronte,ES,28.4769,-16.4102,83.34,37,0,2.3,clear sky
262,Dingle,PH,10.9995,122.6711,87.08,71,88,12.86,overcast clouds
263,Meadow Lake,US,34.8014,-106.5436,78.28,54,75,1.3,broken clouds
264,Makakilo City,US,21.3469,-158.0858,79.12,64,100,17.27,overcast clouds
265,Northam,GB,51.0333,-4.2167,51.39,86,79,3.36,broken clouds
266,Ilulissat,GL,69.2167,-51.1,42.82,93,100,6.91,overcast clouds
267,Nabire,ID,-3.3667,135.4833,84.96,66,100,4.18,light rain
268,Bodden Town,KY,19.2833,-81.25,81.93,83,76,5.99,broken clouds
269,Kaeo,NZ,-35.1,173.7833,61.32,76,19,9.82,few clouds
270,Podgorica,ME,42.4411,19.2636,76.78,65,20,3.44,few clouds
271,Capari,MK,41.0561,21.1783,58.66,57,26,1.99,scattered clouds
272,Geraldton,AU,-28.7667,114.6,68.41,56,0,14.97,clear sky
273,Vredendal,ZA,-31.6683,18.5012,57.18,72,100,1.97,overcast clouds
274,Zatoka,UA,46.0725,30.4654,74.62,65,5,1.83,clear sky
275,Lofthus,NO,59.9468,10.8018,56.97,46,100,2.64,overcast clouds
276,Rach Gia,VN,10.0167,105.0833,85.01,68,100,7.23,overcast clouds
277,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,64,0,11.5,clear sky
278,Nanortalik,GL,60.1432,-45.2371,42.6,93,64,3.65,broken clouds
279,Iqaluit,CA,63.7506,-68.5145,44.33,76,20,2.3,few clouds
280,Berlin,DE,52.5244,13.4105,58.35,73,0,8.01,clear sky
281,Durgapur,IN,23.4833,87.3167,88.09,74,75,4.61,mist
282,Goma,CD,-1.6792,29.2228,66.49,63,75,6.91,broken clouds
283,Ostrovnoy,RU,68.0531,39.5131,65.73,74,97,20.33,overcast clouds
284,Balikpapan,ID,-1.2675,116.8289,81.59,89,20,9.22,few clouds
285,Bedele,ET,8.456,36.353,55.94,99,100,1.97,light rain
286,Wageningen,NL,51.9667,5.6667,54.99,91,75,1.14,broken clouds
287,Viloco,BO,-16.95,-67.55,38.32,59,63,1.92,broken clouds
288,Periam,RO,46.05,20.8667,68.16,80,35,6.82,scattered clouds
289,Chimbote,PE,-9.0853,-78.5783,61.81,88,89,9.13,overcast clouds
290,Mitu,CO,1.1983,-70.1733,70.23,99,68,2.01,broken clouds
291,Rio Grande,BR,-32.035,-52.0986,59.95,96,30,9.69,scattered clouds
292,Ahipara,NZ,-35.1667,173.1667,58.6,86,38,10.78,scattered clouds
293,Bismarck,US,46.8083,-100.7837,69.64,71,75,8.05,broken clouds
294,Chisec,GT,15.8167,-90.2833,71.06,97,77,3.02,broken clouds
295,Gulbene,LV,57.1777,26.7529,59.83,97,100,5.03,overcast clouds
296,Kununurra,AU,-15.7667,128.7333,84.18,23,3,11.5,clear sky
297,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,100,0,6.17,clear sky
298,Russell,US,32.3502,-85.1999,80.2,71,59,3.71,broken clouds
299,Montecristi,EC,-1.05,-80.6667,67.82,94,100,5.75,light rain
300,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.04,86,81,10.63,broken clouds
301,Nipawin,CA,53.3668,-104.0009,59.04,82,40,9.22,scattered clouds
302,Shangzhi,CN,45.2167,127.9667,89.56,50,55,1.9,broken clouds
303,Walvis Bay,NA,-22.9575,14.5053,52.36,75,4,4.99,clear sky
304,Frontera,MX,26.9333,-101.45,91.33,36,96,1.99,overcast clouds
305,Miquelon,PM,47.0975,-56.3814,60.8,100,90,5.97,overcast clouds
306,Santiago Del Estero,AR,-27.7951,-64.2615,78.39,51,97,7.54,overcast clouds
307,Kupang,ID,-10.1667,123.5833,84.34,52,100,12.82,overcast clouds
308,Gardenstown,GB,57.671,-2.336,52.18,1,32,8.99,scattered clouds
309,Lunca Ilvei,RO,47.3667,24.9833,67.19,63,80,2.1,broken clouds
310,Nagato,JP,34.3833,131.2,85.41,73,3,7.85,clear sky
